dim_time_key,time_hhmm,time_hh_24,time_hh,time_am_pm
165914,1659,16,4,pm
165915,1659,16,4,pm
165916,1659,16,4,pm
165917,1659,16,4,pm
165918,1659,16,4,pm
165919,1659,16,4,pm
165920,1659,16,4,pm
165921,1659,16,4,pm
165922,1659,16,4,pm
165923,1659,16,4,pm
165924,1659,16,4,pm
165925,1659,16,4,pm
165926,1659,16,4,pm
165927,1659,16,4,pm
165928,1659,16,4,pm
165929,1659,16,4,pm
165930,1659,16,4,pm
165931,1659,16,4,pm
165932,1659,16,4,pm
165933,1659,16,4,pm
165934,1659,16,4,pm
165935,1659,16,4,pm
165936,1659,16,4,pm
165937,1659,16,4,pm
165938,1659,16,4,pm
165939,1659,16,4,pm
165940,1659,16,4,pm
165941,1659,16,4,pm
165942,1659,16,4,pm
165943,1659,16,4,pm
165944,1659,16,4,pm
165945,1659,16,4,pm
165946,1659,16,4,pm
165947,1659,16,4,pm
165948,1659,16,4,pm
165949,1659,16,4,pm
165950,1659,16,4,pm
165951,1659,16,4,pm
165952,1659,16,4,pm
165953,1659,16,4,pm
165954,1659,16,4,pm
165955,1659,16,4,pm
165956,1659,16,4,pm
165957,1659,16,4,pm
165958,1659,16,4,pm
165959,1659,16,4,pm
170000,1700,17,5,pm
170001,1700,17,5,pm
170002,1700,17,5,pm
170003,1700,17,5,pm
170004,1700,17,5,pm
170005,1700,17,5,pm
170006,1700,17,5,pm
170007,1700,17,5,pm
170008,1700,17,5,pm
170009,1700,17,5,pm
170010,1700,17,5,pm
170011,1700,17,5,pm
170012,1700,17,5,pm
170013,1700,17,5,pm
170014,1700,17,5,pm
170015,1700,17,5,pm
170016,1700,17,5,pm
170017,1700,17,5,pm
170018,1700,17,5,pm
170019,1700,17,5,pm
170020,1700,17,5,pm
170021,1700,17,5,pm
170022,1700,17,5,pm
170023,1700,17,5,pm
170024,1700,17,5,pm
170025,1700,17,5,pm
170026,1700,17,5,pm
170027,1700,17,5,pm
170028,1700,17,5,pm
170029,1700,17,5,pm
170030,1700,17,5,pm
170031,1700,17,5,pm
170032,1700,17,5,pm
170033,1700,17,5,pm
170034,1700,17,5,pm
170035,1700,17,5,pm
170036,1700,17,5,pm
170037,1700,17,5,pm
170038,1700,17,5,pm
170039,1700,17,5,pm
170040,1700,17,5,pm
170041,1700,17,5,pm
170042,1700,17,5,pm
170043,1700,17,5,pm
170044,1700,17,5,pm
170045,1700,17,5,pm
170046,1700,17,5,pm
170047,1700,17,5,pm
170048,1700,17,5,pm
170049,1700,17,5,pm
170050,1700,17,5,pm
170051,1700,17,5,pm
170052,1700,17,5,pm
170053,1700,17,5,pm
170054,1700,17,5,pm
170055,1700,17,5,pm
170056,1700,17,5,pm
170057,1700,17,5,pm
170058,1700,17,5,pm
170059,1700,17,5,pm
170100,1701,17,5,pm
170101,1701,17,5,pm
170102,1701,17,5,pm
170103,1701,17,5,pm
170104,1701,17,5,pm
170105,1701,17,5,pm
170106,1701,17,5,pm
170107,1701,17,5,pm
170108,1701,17,5,pm
170109,1701,17,5,pm
170110,1701,17,5,pm
170111,1701,17,5,pm
170112,1701,17,5,pm
170113,1701,17,5,pm
170114,1701,17,5,pm
170115,1701,17,5,pm
170116,1701,17,5,pm
170117,1701,17,5,pm
170118,1701,17,5,pm
170119,1701,17,5,pm
170120,1701,17,5,pm
170121,1701,17,5,pm
170122,1701,17,5,pm
170123,1701,17,5,pm
170124,1701,17,5,pm
170125,1701,17,5,pm
170126,1701,17,5,pm
170127,1701,17,5,pm
170128,1701,17,5,pm
170129,1701,17,5,pm
170130,1701,17,5,pm
170131,1701,17,5,pm
170132,1701,17,5,pm
170133,1701,17,5,pm
170134,1701,17,5,pm
170135,1701,17,5,pm
170136,1701,17,5,pm
170137,1701,17,5,pm
170138,1701,17,5,pm
170139,1701,17,5,pm
170140,1701,17,5,pm
170141,1701,17,5,pm
170142,1701,17,5,pm
170143,1701,17,5,pm
170144,1701,17,5,pm
170145,1701,17,5,pm
170146,1701,17,5,pm
170147,1701,17,5,pm
170148,1701,17,5,pm
170149,1701,17,5,pm
170150,1701,17,5,pm
170151,1701,17,5,pm
170152,1701,17,5,pm
170153,1701,17,5,pm
170154,1701,17,5,pm
170155,1701,17,5,pm
170156,1701,17,5,pm
170157,1701,17,5,pm
170158,1701,17,5,pm
170159,1701,17,5,pm
170200,1702,17,5,pm
170201,1702,17,5,pm
170202,1702,17,5,pm
170203,1702,17,5,pm
170204,1702,17,5,pm
170205,1702,17,5,pm
170206,1702,17,5,pm
170207,1702,17,5,pm
170208,1702,17,5,pm
170209,1702,17,5,pm
170210,1702,17,5,pm
170211,1702,17,5,pm
170212,1702,17,5,pm
170213,1702,17,5,pm
170214,1702,17,5,pm
170215,1702,17,5,pm
170216,1702,17,5,pm
170217,1702,17,5,pm
170218,1702,17,5,pm
170219,1702,17,5,pm
170220,1702,17,5,pm
170221,1702,17,5,pm
170222,1702,17,5,pm
170223,1702,17,5,pm
170224,1702,17,5,pm
170225,1702,17,5,pm
170226,1702,17,5,pm
170227,1702,17,5,pm
170228,1702,17,5,pm
170229,1702,17,5,pm
170230,1702,17,5,pm
170231,1702,17,5,pm
170232,1702,17,5,pm
170233,1702,17,5,pm
170234,1702,17,5,pm
170235,1702,17,5,pm
170236,1702,17,5,pm
170237,1702,17,5,pm
170238,1702,17,5,pm
170239,1702,17,5,pm
170240,1702,17,5,pm
170241,1702,17,5,pm
170242,1702,17,5,pm
170243,1702,17,5,pm
170244,1702,17,5,pm
170245,1702,17,5,pm
170246,1702,17,5,pm
170247,1702,17,5,pm
170248,1702,17,5,pm
170249,1702,17,5,pm
170250,1702,17,5,pm
170251,1702,17,5,pm
170252,1702,17,5,pm
170253,1702,17,5,pm
170254,1702,17,5,pm
170255,1702,17,5,pm
170256,1702,17,5,pm
170257,1702,17,5,pm
170258,1702,17,5,pm
170259,1702,17,5,pm
170300,1703,17,5,pm
170301,1703,17,5,pm
170302,1703,17,5,pm
170303,1703,17,5,pm
170304,1703,17,5,pm
170305,1703,17,5,pm
170306,1703,17,5,pm
170307,1703,17,5,pm
170308,1703,17,5,pm
170309,1703,17,5,pm
170310,1703,17,5,pm
170311,1703,17,5,pm
170312,1703,17,5,pm
170313,1703,17,5,pm
170314,1703,17,5,pm
170315,1703,17,5,pm
170316,1703,17,5,pm
170317,1703,17,5,pm
170318,1703,17,5,pm
170319,1703,17,5,pm
170320,1703,17,5,pm
170321,1703,17,5,pm
170322,1703,17,5,pm
170323,1703,17,5,pm
170324,1703,17,5,pm
170325,1703,17,5,pm
170326,1703,17,5,pm
170327,1703,17,5,pm
170328,1703,17,5,pm
170329,1703,17,5,pm
170330,1703,17,5,pm
170331,1703,17,5,pm
170332,1703,17,5,pm
170333,1703,17,5,pm
170334,1703,17,5,pm
170335,1703,17,5,pm
170336,1703,17,5,pm
170337,1703,17,5,pm
170338,1703,17,5,pm
170339,1703,17,5,pm
170340,1703,17,5,pm
170341,1703,17,5,pm
170342,1703,17,5,pm
170343,1703,17,5,pm
170344,1703,17,5,pm
170345,1703,17,5,pm
170346,1703,17,5,pm
170347,1703,17,5,pm
170348,1703,17,5,pm
170349,1703,17,5,pm
170350,1703,17,5,pm
170351,1703,17,5,pm
170352,1703,17,5,pm
170353,1703,17,5,pm
170354,1703,17,5,pm
170355,1703,17,5,pm
170356,1703,17,5,pm
170357,1703,17,5,pm
170358,1703,17,5,pm
170359,1703,17,5,pm
170400,1704,17,5,pm
170401,1704,17,5,pm
170402,1704,17,5,pm
170403,1704,17,5,pm
